QID,ProductID,Component,Role,RoleName,Level,OnboardingPhase,QuestionType,Question,WhyItMatters,AnswerSource,AnswerStatus,BlocksWork,ParentQID,FollowUps,SampleAnswerShape,AskedTo,AnsweredBy,AnswerDate,DocLink,Confidence
QAX0117,D20,Immersive Lab — Reference Site (M33),QA,QA / Test Engineer,L3 Senior,Month 1,Failure mode,"What does the full-occupancy load test prove about the lab, and what does it not?",Passing one clean full-occupancy hour creates confidence in a lab that has never run a full teaching day.,Master Checklist v3 (FLD-06.1.02),Partially documented,FLD-06.1.02 full-occupancy load test,-,How long was the sustained session? / Was thermal soak included? / Was charging concurrent?,states the tested duration and names thermal soak and concurrent charging as untested,,,,,
QAX0119,D20,Immersive Lab — Reference Site (M33),QA,QA / Test Engineer,L3 Senior,Month 1,Standards,"Which lab acceptance items are binary pass or fail, and which currently rest on an inspector's judgement?",A judgement-based acceptance item lets the second site pass on a different standard from the first.,Master Checklist v3 (FLD-06.1.01),Partially documented,FLD-06.1.01 lab acceptance checklist with binary items,-,Which items are subjective? / Who is the acceptance authority? / How are waivers recorded?,identifies subjective items as a replication risk and names the acceptance authority,,,,,
QAX0120,D20,Immersive Lab — Reference Site (M33),SDET,Test Architect / SDET,L3 Senior,Month 1,Standards,Which lab acceptance tests can be automated and which will always need a person in the room?,Treating physical acceptance as fully manual makes each site acceptance a bespoke event that cannot be audited.,Master Checklist v3 (TST-46.2.01 to TST-46.2.05),Partially documented,TST-46.3.01 M33 delta exit-gate evidence bundle,-,Can drift and inventory be automated? / Can the offline drill be scripted? / What stays manual?,separates telemetry-verifiable items from physical and safety items,,,,,
QAX0111,D20,Immersive Lab — Reference Site (M33),SEC,Security Engineer,L2 Mid,Month 1,Security,How does the chosen mobile device management product operate at a site with no outbound internet?,"An MDM that phones home cannot be used at an accredited site, and the fleet then has no enforceable configuration control.",Master Checklist v3 (FLD-04.1.06),Partially documented,FLD-04.1.06 MDM selection with enclave operation verified,-,Is there an on-premises mode? / Was egress tested? / What is the licence model offline?,names the on-premises mode and the egress test that proved it,,,,,
QAX0113,D20,Immersive Lab — Reference Site (M33),SEC,Security Engineer,L2 Mid,Month 1,Security,What control prevents a headset leaving the lab without a record?,"An unrecorded headset departure is an asset loss and, in a classified-adjacent space, a security incident.","Master Checklist v3 (FLD-92.1.04, FLD-92.1.01)",Partially documented,FLD-92.1.04 device check-out and check-in control,-,Is the asset register reconciled? / How often? / Who investigates a discrepancy?,"names the check-out control, the asset register and the reconciliation cadence",,,,,
QAX0118,D20,Immersive Lab — Reference Site (M33),SEC,Security Engineer,L3 Senior,Month 1,Security,How is zero egress proven for the whole lab stack rather than for one component?,"A single component phoning home invalidates the accreditation for the entire site, whatever the other components do.",Master Checklist v3 (FLD-06.2.02),Partially documented,FLD-06.2.02 zero-egress verification in enclave mode,-,Was the capture at the boundary? / Was a full session covered? / Does the MDM appear?,names a boundary packet capture over a full session covering every component,,,,,
QAX0127,D20,Immersive Lab — Reference Site (M33),SEC,Security Engineer,L3 Senior,Quarter 1,Emergent,What happens when a security patch must be applied faster than the configuration baseline can be revised?,Holding a fleet off a critical patch to protect comparability trades a security exposure for a data property.,"Master Checklist v3 (FLD-05.2.01, FLD-05.2.02)",Undocumented — no answer exists,FLD-90.1.03 change control on the frozen reference design,QAX0101,Who can authorise an emergency baseline bump? / Are both sites patched together? / Is the study told?,names an emergency change authority and the analytics disclosure that follows,,,,,
QAX0103,D20,Immersive Lab — Reference Site (M33),SUP,Support & Service Engineer,L1 Junior,Day 1,Orientation,What is the headset hygiene protocol between two learners in the same session?,A skipped sanitation step in a shared-headset lab is a health incident that will close the lab.,"Master Checklist v3 (FLD-91.2.01, FLD-05.1.05)",Partially documented,FLD-91.2.01 headset hygiene and sanitation protocol,-,Is there a per-session log? / What handles the face interface? / Who audits compliance?,"names the per-user step, the consumable and the session log entry",,,,,
QAX0104,D20,Immersive Lab — Reference Site (M33),SUP,Support & Service Engineer,L1 Junior,Day 1,Orientation,What is a golden image in the lab context and when is a headset restored from it?,A technician who fixes a device by hand instead of re-imaging puts one device permanently off baseline.,"Master Checklist v3 (FLD-04.1.05, FLD-06.1.03)",Partially documented,FLD-04.1.05 device imaging design,-,Where is the image stored? / How long does a restore take? / Who authorises a manual fix?,"names the versioned image, the restore procedure and the prohibition on hand-fixes",,,,,
QAX0105,D20,Immersive Lab — Reference Site (M33),SUP,Support & Service Engineer,L1 Junior,Day 1,Orientation,What is on the lab's uninterruptible power supply and what is deliberately not?,A technician who assumes charging carts are protected will discover otherwise during the first outage mid-session.,Master Checklist v3 (FLD-90.2.01),Partially documented,FLD-90.2.01 UPS capacity calculation for full lab load,-,What is the hold-up time? / Are the carts included? / What is the generator cutover time?,"lists the protected load, the hold-up time and what is excluded by design",,,,,
QAX0109,D20,Immersive Lab — Reference Site (M33),SUP,Support & Service Engineer,L2 Mid,Week 1,Performance/Scale,How was the lab's cooling capacity derived from the fleet's actual thermal load?,A room sized for occupants but not for a full charging fleet will thermally throttle headsets mid-session in an Indian summer.,"Master Checklist v3 (FLD-91.1.01, FLD-91.1.02)",Partially documented,FLD-91.1.01 thermal load calculation,-,Was a seventy-two-hour log taken? / At what height was it measured? / What is the throttle threshold?,"names the load components, the measured proof and the device manufacturer's threshold",,,,,
QAX0110,D20,Immersive Lab — Reference Site (M33),SUP,Support & Service Engineer,L2 Mid,Week 1,Mechanism,How long does re-imaging ten headsets take using only the documented procedure?,If a restore drill is slower than a session turnaround the lab cannot recover between classes.,"Master Checklist v3 (FLD-06.1.03, TST-46.2.02)",Partially documented,FLD-06.1.03 ten-headset re-image and restore drill,-,Is the image served locally? / Can it run in parallel? / What is the target time?,gives a measured drill time against a stated target using local image delivery,,,,,
QAX0115,D20,Immersive Lab — Reference Site (M33),SUP,Support & Service Engineer,L3 Senior,Month 1,Failure mode,What happens to in-flight learner evidence when mains power fails during a multi-headset session?,Losing a session's evidence to a power event means the learners repeat the session and the schedule slips.,Master Checklist v3 (FLD-90.2.06),Partially documented,FLD-90.2.06 power-event resilience drill,-,Do headsets ride through on battery? / Does the edge server shut down cleanly? / Was it drilled?,"traces the event through device battery, UPS hold-up and clean edge shutdown",,,,,
QAX0116,D20,Immersive Lab — Reference Site (M33),SUP,Support & Service Engineer,L3 Senior,Quarter 1,Governance/Process,"What can a lab technician diagnose without escalating, and where does their authority stop?",A technician who exceeds their authority modifies a device off baseline; one who stops too early leaves the lab down.,"Master Checklist v3 (FLD-96.2.03, FLD-96.2.04)",Partially documented,FLD-96.2.03 train-the-lab-technician pack,-,What is on the technician's decision tree? / What requires a waiver? / What is the escalation path?,draws a line between re-image and swap actions and anything that changes the baseline,,,,,
QAX0126,D20,Immersive Lab — Reference Site (M33),SUP,Support & Service Engineer,L3 Senior,Quarter 1,Emergent,What is the per-session consumable cost of the hygiene protocol and who pays it at a government institute?,"A protocol whose consumables nobody funds is quietly abandoned in month two, and the compliance audit finds it.",None — undocumented,Undocumented — no answer exists,FLD-91.2.02 hygiene compliance audit,QAX0103,Is it in the maintenance contract? / What is the per-learner cost? / Who reorders?,converts the protocol into a per-session consumable cost with a named budget holder,,,,,
QCV0063,D21,Immersive Lab — Replication Site,DA,Data Analyst,L3,Month 1,Failure mode,How does the analytics comparability gate behave with only one site's config-stamped events?,A gate that never fires because its comparison set is empty gives false assurance that baselines match.,Master Checklist v3 (FLD-07.2.04); D18 analytics,Undocumented — no answer exists,Comparability gate behaviour,-,Does it fail open or closed? / Is a single-site variant needed? / Who monitors it?,Describes gate behaviour with a degenerate input set and the safe default,,,,,
